path,column_name,assay,osmolyte,condition_mM,cell_id,rotation_direction,fps,source_kind,source_path,sign_adjustment,time_bin_s,reduction,frame_reference_fps
data/time-series/bead/clockwise_400mM.parquet,cell8,Clockwise,sucrose,400,cell8,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/400mM/freq-cell8.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_400mM.parquet,cell9,Clockwise,sucrose,400,cell9,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/400mM/freq-cell9.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_500mM.parquet,cell1,Clockwise,sucrose,500,cell1,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/500mM/freq-cell1.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_500mM.parquet,cell2,Clockwise,sucrose,500,cell2,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/500mM/freq-cell2.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_500mM.parquet,cell3,Clockwise,sucrose,500,cell3,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/500mM/freq-cell3.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_500mM.parquet,cell4,Clockwise,sucrose,500,cell4,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/500mM/freq-cell4.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_500mM.parquet,cell5,Clockwise,sucrose,500,cell5,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/500mM/freq-cell5.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_500mM.parquet,cell6,Clockwise,sucrose,500,cell6,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/500mM/freq-cell6.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_500mM.parquet,cell7,Clockwise,sucrose,500,cell7,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/500mM/freq-cell7.csv,none,0.1,mean_bin,300
data/time-series/bead/clockwise_500mM.parquet,cell8,Clockwise,sucrose,500,cell8,CW,300,legacy_csv,data/Bead-assays/Clockwise/speeds/500mM/freq-cell8.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_200mM.parquet,cell1,Sodium,sodium,200,cell1,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/200mM/freq-200-cell1.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_200mM.parquet,cell10,Sodium,sodium,200,cell10,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/200mM/freq-200-cell10.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_200mM.parquet,cell2,Sodium,sodium,200,cell2,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/200mM/freq-200-cell2.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_200mM.parquet,cell3,Sodium,sodium,200,cell3,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/200mM/freq-200-cell3.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_200mM.parquet,cell4,Sodium,sodium,200,cell4,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/200mM/freq-200-cell4.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_200mM.parquet,cell5,Sodium,sodium,200,cell5,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/200mM/freq-200-cell5.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_200mM.parquet,cell6,Sodium,sodium,200,cell6,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/200mM/freq-200-cell6.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_200mM.parquet,cell7,Sodium,sodium,200,cell7,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/200mM/freq-200-cell7.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_200mM.parquet,cell8,Sodium,sodium,200,cell8,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/200mM/freq-200-cell8.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_200mM.parquet,cell9,Sodium,sodium,200,cell9,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/200mM/freq-200-cell9.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_300mM.parquet,cell1,Sodium,sodium,300,cell1,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/300mM/freq-300-cell1.csv,none,0.1,mean_bin,300
data/time-series/bead/sodium_300mM.parquet,cell12,Sodium,sodium,300,cell12,CCW,300,legacy_csv,data/Bead-assays/Sodium/speeds/300mM/freq-300-cell12.csv,none,0.1,mean_bin,300
