frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10
27,26820.179395181956,25767.04001616815,25571.600255427842,25524.026602176542,24421.896257386736,27262.062149331032,27962.593550673282,27905.562888198758,27194.356573116693,26881.523636363636
28,26834.155453618758,25761.995147594014,25574.688378033206,25537.00484848485,24434.22879684418,27267.253356431356,27962.574468085106,27916.058139534885,27673.07207439938,26895.368389057752
29,26784.920911185054,25750.370385395538,25547.208492975733,25499.34518997575,24397.69407894737,27236.271465741545,27941.622253720765,27877.866486068113,27624.092482562646,26842.493325242718
30,26776.67443050934,25716.921489275595,25524.433269476373,25485.781590633833,24404.278871391078,27203.64644714038,27900.755413560524,27851.46604578968,27173.328714622643,26835.98737980769
31,26778.458961902328,25741.263349514564,25534.630587484036,25491.70205894227,24398.63552631579,27214.074794638997,27907.530604982207,27866.32802176448,27622.606303280805,26831.30193236715
32,26720.7273888605,25654.412383650342,25454.098020434227,25413.116909385113,24311.13552631579,27115.04280155642,27813.94395175594,27751.4953307393,27063.92511792453,26726.44121212121
33,26602.775588536337,25559.454251012146,25365.16060025543,25329.180752122928,24225.71260613978,27028.173218142547,27715.733948208584,27668.85692128732,26964.311320754718,26647.568757539204
34,26539.840460947504,25488.131121003644,25290.248084291186,25247.10371267151,24191.209210526315,26991.853333333333,27673.706529453513,27637.9766536965,26937.936540731997,26617.17469879518
35,26481.862589559878,25431.08606060606,25232.955300127713,25191.074373484236,24105.60695538058,26913.857327586207,27616.12775017743,27587.99299883314,26879.8191740413,26567.157608695652
36,26462.905017921148,25396.57137080469,25206.531928480203,25168.205418520018,24088.98418972332,26914.999568407424,27609.998580049698,27589.593701399688,26876.04096669614,26552.378851963746
37,26457.62054829618,25401.930561162695,25220.51277139208,25162.492940701897,24099.330718954247,26908.540750323416,27619.252127659576,27587.937378451963,26881.14365781711,26537.254677127337
38,26456.56652140477,25405.43659127625,25213.677203065134,25174.74293785311,24081.57601572739,26900.152483801296,27615.839545615905,27570.29848425962,26860.046312684364,26539.722054380665
39,26600.704510507432,25527.832054905128,25329.033524904215,25277.071544058206,24179.428571428572,27037.266609145816,27759.368085106384,27704.777604976673,27034.372641509435,26707.528415961307
40,27417.003846153846,26291.152200242228,26072.93263090677,26057.729107791685,24869.51568627451,27864.33752166378,28595.10333806818,28454.0763861962,27777.486430678466,27446.874396135267
41,29353.74980793854,28204.81545932821,27949.802681992336,27919.3574605742,26658.368178829718,29822.63655821918,30537.307637655416,30348.64368706429,29614.311707460925,29242.752720677145
42,30580.57852933641,29312.849818328625,29040.835568326947,29005.139179404665,27764.694626474444,31078.885860306644,31830.597725657426,31512.003499222395,30727.317231222387,30313.496077248037
43,31272.160440122825,29976.006863140898,29611.52937420179,29600.864570737605,28311.150098749178,31725.41841541756,32464.262915782023,32114.327792810203,31331.675014731878,30861.20677146312
44,31598.166368057333,30306.144009681324,29914.010217113664,29907.61482381531,28618.988204456095,32036.316265060243,32736.125619249822,32406.875,31621.734315169368,31112.833333333332
45,31639.625448028673,30363.502215062425,29941.6404853129,29968.48931020573,28631.795543905635,32056.22475290073,32741.924274593064,32359.10065814944,31613.59870359458,31100.406913280774
46,31483.224186523188,30211.895841744044,29812.45785440613,29821.417741935486,28533.832020997375,31893.30513595166,32583.415957446807,32198.996901626648,31441.66519564578,30938.39072847682
47,31301.96799795187,30029.38595074687,29645.579182630907,29643.578672032192,28367.242603550298,31724.657487091223,32448.91205673759,32067.766873545384,31302.651087595532,30807.84410876133
48,31230.062148337594,29959.39169019766,29569.585568326947,29584.548711755233,28303.93885601578,31670.272020725388,32417.195390070923,32067.772127329194,31282.181470588235,30826.213164251207
49,31099.038944401742,29857.397901533495,29474.78799489144,29465.06604913411,28177.01112565445,31541.589632829375,32336.93756651295,32012.530050407135,31220.278365667255,30743.650602409638
